target_work_id,cocitation_strength,cocitation_degree,title,authors,year,topic_label,tier_label,wanfang_count,chapter_no,topic_group,label,gateway
WORK-7D2729600B03,526,88,场景理论与文化艺术遗产的传承与创新--金元浦对话劳伦斯教授,金元浦,2020,"Tourism, heritage, and place",Confirmed Scenes,65,,"Tourism, heritage, and design",,FALSE
WORK-9A7C01587782,797,114,消费场景：一种城市发展的新动能,吴军; 叶裕民,2020,Cultural consumption,Confirmed Scenes,133,,Creative industries and consumption,,FALSE
WORK-BFCDAD5D6F62,307,71,场景视域下特色小镇创生发展的文化介入路径研究——基于川渝33个样本的模糊集定性比较分析,张琳;黄美玲;杨毅,2020,Interdisciplinary/other,Confirmed Scenes,32,,Other,,FALSE
WORK-C47D0DDF573B,343,85,场景的“再场景化”：新媒介时代文创街区的媒介形象建构与传播,刘桂茹,2020,"Digital, virtual, and media",Confirmed Scenes,61,,Digital and media,,FALSE
WORK-E30494511AE3,340,66,场景视角下的青岛八大关历史街区保护更新研究,程诗雅,2020,"Tourism, heritage, and place",Confirmed Scenes,38,,"Tourism, heritage, and design",,FALSE
WORK-E94E5C42842C,356,68,基于文化场景理论的我国城市文化创新路径探究,禹建湘;汪妍,2020,Creative industries and innovation,Confirmed Scenes,36,,Creative industries and consumption,,FALSE
WORK-0A5390252183,369,68,重庆渝中区山城步道品质提升规划:基于场景理论的山地城市街巷更新研究,黄瓴;王婷,2021,Urban renewal and design,Confirmed Scenes,35,,"Tourism, heritage, and design",,FALSE
WORK-41796BCC3637,377,81,"场景理论下上海文化记忆机构""非遗+旅游""融合发展新路径",刘中华;焦基鹏,2021,"Tourism, heritage, and place",Confirmed Scenes,88,,"Tourism, heritage, and design",,FALSE
WORK-66326D69AE91,575,93,基于场景理论的健康社区营造,孟丹诚;徐磊青,2021,Public culture and community,Confirmed Scenes,100,,Public and rural culture,,FALSE
WORK-71B4564696D6,398,83,文化场景理论视域下公共图书馆空间建设研究,臧航达;寇垠,2021,Public culture and community,Confirmed Scenes,79,10,Public and rural culture,,FALSE
WORK-79496285BA39,301,67,场景理论视域下川剧文化空间与场景营造研究,李洁,2021,Urban renewal and design,Confirmed Scenes,35,,"Tourism, heritage, and design",,FALSE
WORK-8165D657153E,724,110,基于场景理论的历史性城市景观消费空间感知研究,"周详, 成玉宁",2021,Cultural consumption,Confirmed Scenes,91,,Creative industries and consumption,,FALSE
WORK-9127D50627FC,313,66,场景视域下大运河非遗生活性保护的策略研究,"郭新茹, 陈天宇, 唐月民",2021,"Tourism, heritage, and place",Confirmed Scenes,42,,"Tourism, heritage, and design",,FALSE
WORK-AAB042DA1058,1028,127,场景视阈下城市夜间文旅消费空间研究——基于长沙超级文和友文化场景的透视,"傅才武, 王异凡",2021,"Tourism, heritage, and place",Confirmed Scenes,161,,"Tourism, heritage, and design",,FALSE
WORK-EECC280B6161,1365,150,场景理论的范式转型及其中国实践,温雯; 戴俊骋,2021,Theory gateways and reviews,Confirmed Scenes,182,,Theory and policy,Wen & Dai 2021,FALSE
WORK-F0FD43E93B7D,780,109,重庆老旧小区公共空间场景化改造策略探究,"赵万民, 吴斯妤, 杨光",2021,Public culture and community,Confirmed Scenes,147,,Public and rural culture,,FALSE
WORK-F59EEE43B144,340,76,虚拟文化空间场景维度及评价研究——以“云游博物馆”为例,陈波;彭心睿,2021,"Digital, virtual, and media",Confirmed Scenes,76,,Digital and media,,FALSE
WORK-F7A7EC2D740F,758,112,场景理论在成都城市社区更新中的在地应用——以望平社区为例,赵蔚;韩腾飞;李春玲,2021,Public culture and community,Confirmed Scenes,92,,Public and rural culture,,FALSE
WORK-F9453AB659B3,419,86,乡村文旅融合对游客满意度的影响研究——基于场景理论的实证分析,黎玲,2021,Rural development,Confirmed Scenes,112,,Public and rural culture,,FALSE
WORK-086D6264647C,506,95,场景的“蜂鸣生产力”,齐骥; 亓冉; 特里·N·克拉克,2022,Creative industries and innovation,Confirmed Scenes,53,13,Creative industries and consumption,,FALSE
WORK-0BA39736AD58,1006,129,场景理论及其在我国历史城镇保护与更新中的应用,李和平;金红;特里·N·克拉克等,2022,Urban renewal and design,Confirmed Scenes,117,,"Tourism, heritage, and design",,FALSE
WORK-1A1BA391F0AD,418,93,场景视域下城市创意街区的空间营造：理论维度与范式,钟晟,2022,Creative industries and innovation,Confirmed Scenes,57,,Creative industries and consumption,,FALSE
WORK-7647EECE73A6,831,118,场景理论下非遗旅游地文化价值提升研究——基于浙江省27个非遗旅游小镇数据分析,陈波;延书宁,2022,"Tourism, heritage, and place",Confirmed Scenes,125,,"Tourism, heritage, and design",Chen & Yan 2022,FALSE
WORK-97D6A230B76E,447,88,场景理论下乡村文旅融合的价值表达及其强化路径,陈波;刘彤瑶,2022,Rural development,Confirmed Scenes,94,,Public and rural culture,,FALSE
